Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,League,Season,Week
01/02/2025,Charleroi,Dender,5,0,3.0,0.0,Belçika,2024-2025,1
01/02/2025,Cercle Brugge,Standard,1,1,0.0,0.0,Belçika,2024-2025,1
01/02/2025,Genk,Beerschot VA,1,0,1.0,0.0,Belçika,2024-2025,1
01/03/2025,Cercle Brugge,Antwerp,0,0,0.0,0.0,Belçika,2024-2025,1
01/03/2025,Gent,Club Brugge,1,1,0.0,1.0,Belçika,2024-2025,1
01/03/2025,St Truiden,Kortrijk,4,2,2.0,1.0,Belçika,2024-2025,1
01/03/2025,St. Gilloise,Dender,4,1,2.0,0.0,Belçika,2024-2025,1
01/05/2025,Antwerp,Anderlecht,1,3,0.0,0.0,Belçika,2024-2025,1
01/05/2025,Club Brugge,Gent,4,1,1.0,1.0,Belçika,2024-2025,1
01/09/2024,Club Brugge,Cercle Brugge,3,0,2.0,0.0,Belçika,2024-2025,1
01/09/2024,Gent,Antwerp,1,1,1.0,1.0,Belçika,2024-2025,1
01/09/2024,St. Gilloise,Anderlecht,0,0,0.0,0.0,Belçika,2024-2025,1
01/09/2024,Kortrijk,St Truiden,1,1,0.0,1.0,Belçika,2024-2025,1
01/11/2024,Westerlo,Dender,2,0,1.0,0.0,Belçika,2024-2025,1
01/12/2024,St Truiden,Genk,2,2,0.0,1.0,Belçika,2024-2025,1
01/12/2024,Beerschot VA,Cercle Brugge,3,2,0.0,2.0,Belçika,2024-2025,1
01/12/2024,Oud-Heverlee Leuven,Anderlecht,0,0,0.0,0.0,Belçika,2024-2025,1
01/12/2024,St. Gilloise,Antwerp,2,1,1.0,1.0,Belçika,2024-2025,1
01/12/2024,Westerlo,Gent,2,2,1.0,1.0,Belçika,2024-2025,1
02/02/2025,Antwerp,Club Brugge,2,1,0.0,1.0,Belçika,2024-2025,1
02/02/2025,St. Gilloise,St Truiden,2,1,0.0,0.0,Belçika,2024-2025,1
02/02/2025,Gent,Anderlecht,1,0,1.0,0.0,Belçika,2024-2025,1
02/02/2025,Kortrijk,Westerlo,1,2,1.0,0.0,Belçika,2024-2025,1
02/03/2025,Beerschot VA,Mechelen,1,0,1.0,0.0,Belçika,2024-2025,1
02/03/2025,Standard,Anderlecht,0,2,0.0,0.0,Belçika,2024-2025,1
02/03/2025,Oud-Heverlee Leuven,Westerlo,0,0,0.0,0.0,Belçika,2024-2025,1
02/05/2025,Westerlo,Dender,4,2,1.0,1.0,Belçika,2024-2025,1
02/08/2024,St. Gilloise,Beerschot VA,3,1,2.0,0.0,Belçika,2024-2025,1
02/11/2024,Standard,St Truiden,2,1,2.0,0.0,Belçika,2024-2025,1
02/11/2024,Oud-Heverlee Leuven,Club Brugge,0,1,0.0,0.0,Belçika,2024-2025,1
02/11/2024,Mechelen,St. Gilloise,1,1,0.0,1.0,Belçika,2024-2025,1
03/05/2025,Cercle Brugge,Kortrijk,0,2,0.0,2.0,Belçika,2024-2025,1
03/05/2025,Oud-Heverlee Leuven,Mechelen,1,2,0.0,1.0,Belçika,2024-2025,1
03/05/2025,St. Gilloise,Genk,1,0,0.0,0.0,Belçika,2024-2025,1
03/08/2024,Mechelen,Westerlo,2,4,0.0,2.0,Belçika,2024-2025,1
03/08/2024,Oud-Heverlee Leuven,Genk,3,1,2.0,0.0,Belçika,2024-2025,1
03/08/2024,St Truiden,Charleroi,1,4,0.0,4.0,Belçika,2024-2025,1
03/11/2024,Genk,Antwerp,2,0,1.0,0.0,Belçika,2024-2025,1
03/11/2024,Cercle Brugge,Charleroi,2,0,0.0,0.0,Belçika,2024-2025,1
03/11/2024,Anderlecht,Kortrijk,4,0,1.0,0.0,Belçika,2024-2025,1
03/11/2024,Beerschot VA,Gent,0,0,0.0,0.0,Belçika,2024-2025,1
04/04/2025,Mechelen,Dender,5,2,4.0,0.0,Belçika,2024-2025,1
04/05/2025,Standard,Charleroi,0,1,0.0,0.0,Belçika,2024-2025,1
04/05/2025,St Truiden,Beerschot VA,2,1,1.0,0.0,Belçika,2024-2025,1
04/08/2024,Antwerp,Anderlecht,1,2,1.0,1.0,Belçika,2024-2025,1
